2024-05-30 10:08:32,694: 'k'
2024-05-30 10:08:33,057: 'e'
2024-05-30 10:08:33,306: 'n'
2024-05-30 10:08:33,586: 'y'
2024-05-30 10:08:33,754: 'a'
2024-05-30 10:08:37,794: Key.enter
2024-05-30 10:08:44,537: 'w'
2024-05-30 10:08:44,736: 'e'
2024-05-30 10:08:44,914: Key.space
2024-05-30 10:08:45,282: 'l'
2024-05-30 10:08:45,506: 'o'
2024-05-30 10:08:45,594: 'v'
2024-05-30 10:08:45,792: 'e'
2024-05-30 10:08:45,914: Key.space
2024-05-30 10:08:46,329: 'o'
2024-05-30 10:08:46,409: 'n'
2024-05-30 10:08:46,547: 'e'
2024-05-30 10:08:46,698: Key.space
2024-05-30 10:08:48,994: Key.ctrl
2024-05-30 10:08:49,283: 'c'
2024-05-30 10:08:50,106: 'l'
2024-05-30 10:08:50,235: 's'
2024-05-30 10:08:50,449: Key.enter
2024-05-30 10:08:54,050: 'c'
2024-05-30 10:08:54,250: 'a'
2024-05-30 10:08:54,450: 't'
2024-05-30 10:08:54,634: Key.space
2024-05-30 10:08:56,034: '.'
2024-05-30 10:08:57,426: '.'
2024-05-30 10:08:58,410: Key.backspace
2024-05-30 10:08:58,978: 'l'
2024-05-30 10:08:59,154: Key.tab
2024-05-30 10:08:59,762: Key.enter
2024-05-30 10:09:08,650: 'c'
2024-05-30 10:09:09,187: 'l'
2024-05-30 10:09:09,386: 'e'
2024-05-30 10:09:09,530: 'a'
2024-05-30 10:09:09,707: 'r'
2024-05-30 10:09:09,922: Key.enter
2024-05-30 10:09:12,786: 's'
2024-05-30 10:09:13,178: 't'
2024-05-30 10:09:13,330: 'o'
2024-05-30 10:09:13,507: 'p'
2024-05-30 10:09:13,650: Key.space
2024-05-30 10:09:13,906: 'e'
2024-05-30 10:09:14,090: 'v'
2024-05-30 10:09:14,306: 'e'
2024-05-30 10:09:14,411: 'r'
2024-05-30 10:09:15,002: 't'
2024-05-30 10:09:15,874: Key.backspace
2024-05-30 10:09:16,178: 'y'
2024-05-30 10:09:16,570: 't'
2024-05-30 10:09:16,643: 'h'
2024-05-30 10:09:16,866: 'n'
2024-05-30 10:09:17,218: 'g'
2024-05-30 10:09:18,482: Key.ctrl
2024-05-30 10:09:18,690: 'c'
2024-05-30 10:09:20,195: 'l'
2024-05-30 10:09:20,322: 's'
2024-05-30 10:09:20,451: Key.space
2024-05-30 10:09:20,778: '-'
2024-05-30 10:09:20,978: 'a'
2024-05-30 10:09:22,954: Key.backspace
2024-05-30 10:09:23,454: Key.backspace
2024-05-30 10:09:23,485: Key.backspace
2024-05-30 10:09:23,515: Key.backspace
2024-05-30 10:09:23,545: Key.backspace
2024-05-30 10:09:23,575: Key.backspace
2024-05-30 10:09:23,605: Key.backspace
2024-05-30 10:09:23,636: Key.backspace
2024-05-30 10:09:23,666: Key.backspace
2024-05-30 10:09:23,697: Key.backspace
